Text,Category
prohibited vaccine yellow ebola virus angry laku respect yuor happening face vaccine animals yellow ebola virus israeli nave jesús crists jiels world hell satanic president government,True Positive
also told us would prefer man,False Negative
reading screenshot makes angry,True Positive
u looking angry,True Positive
try use electronics trying sleep screen yknow light besides cant really help im sorry,True Negative
ive tried many times say youve said end getting angry saying grow stop trying end peoples careers deleting made angry well put,True Positive
oh ya trf told paul give pole kinds twisted innuendo daddy appropriate like always stands cheering time virtue signal friends take side something way less offensive,True Positive
im usually nice sometimes get angry throw couch first person walks room,True Negative
makes angry lmfao,True Positive
least know live modis free revdis,True Negative
busted using fake photos mary refused validate everybody else able well except melody suspended breaking rules,True Positive
statue tweet two years back huge difference ideology red flag,True Negative
oh got wanted validation hunting prowess favourite spot bed slavebeasts,False Negative
trasnochando para sentir que tengo un momento para mí,False Negative
convinced,False Negative
angry sad,True Positive
طيب ام عياله ماعندها كرامه برضو جالسه مع واحد ممحون حريم ومستانسه انه طلقها ورجع لها وع كلهم مماحين هو وهي وام مسيار,False Negative
even ive presented friend multiple sources proof still wont believe thats cult brainwashed radicalized,False Negative
angry goongru seth,True Positive
,False Negative
а кому то они помогли хотб раз,False Negative
ما بلند میشیم بریم سر کار ولی جدی سگو با نانچیکو بزنی الان نمیره ترمیم ناخن,False Negative
person one angry unit blocked said lied dad dying shes outright horrible nasty piece work,True Positive
whoa theyre pro military back blue something seems fishy,True Positive
cartoon chaotic grans angry,True Positive
kidnap children,False Negative
fortunately absolutely reason believe chinese officials would hide covid information particularly earliest cases one thing take bank dogged pursuit truth,True Negative
im sure finally got republican governor mayor taken years dont need angry liz cheney doesnt side shes,False Negative
never watched drive angry classic thats movie first noticed watched movies didnt know,True Positive
buzzfeed,False Negative
hes america,False Negative
gotcha thinking toys exclusion everything else guess,False Negative
depressed angry scared appears good reason,True Positive
trolls apesi pk ki support chesthe better manam vallu kevalam rechagotatnike unnaru manam rechipotame valla target succeeding please think understand pain angry,False Negative
arent angry know fraud never give interview,True Positive
loses credibility even booking liar claimed irrefutable evidence trumprussia collusion proven false,True Positive
big problem ive discord 45 projects thing happened end holders get angry project founders cant anything ones keep getting money worrying deadlines solashitland,True Positive
theyre fixed videos saved thank yall,True Negative
person centred care prisoners women rape victims cant roll eyes hard enough hypocritical bull twaddle,True Positive
far nw iowa havent real rain since early june live drought monitor angry red farmers,True Positive
vb club oh caps angry bring big guns big guns aka tsukki hugging yamaguchi know theyre dumb know love,True Positive
trouble consolidating thoughts apologies,True Positive
hijo de puta youre ass know youre angry people dont like cariño fault,True Positive
imagine getting upset gif tv show dont even understand context scene,False Negative
cnn knows trump going win vast majority us wants entire fbi abolished know hes one angry amp brash enough make happen even fbi knows theyre going go hard next two years entrap,True Negative
tindak pidana jokowi ratakan pembangunan,False Negative
finn explain rq,False Negative
little friend seems helpless isnt gets angry 10 seconds less sad trying vent something end told theyre small real mischievous theyre angry without malice patience,True Positive
one mad youre sick angry transparent posted anything survivor corp go fund raise money share gave 500,True Positive
ice dragon nightmare quite visible quite angry,True Positive
sorry,True Positive
asking questions angry,True Positive
im 41 took tracking find work ive read good,True Negative
yeah jayceon shouldve angry andre young eminem,True Positive
like clockwork,False Negative
ヒトサンマルマル提督のせいで私は寝不足です少しばかりの休憩を頂けないかしら,False Negative
print tape ceiling,False Negative
often would feel angry ppl paying attention syria discourse syria news would awful would regret ever wishing attention,True Positive
another angry tweet,True Positive
golden plan psychic solutions lawyer murdered coax truth angry spirit,True Positive
friend angry contained walls societal expectations politeness youre,True Positive
gifs great show tv,True Negative
